PDB_ID,af3,boltz,chai,hf3,nufold,rf2na,rhofold,trrosetta
7EXY,0.48,0.11,0.62,0.53,0.52,0.11,0.6,0.27
7KUB,0.71,0.68,0.7,0.65,0.62,0.48,0.52,0.54
7KUC,0.78,0.64,0.75,0.58,0.8,0.61,0.61,0.73
7KUD,0.42,0.69,0.74,0.12,0.18,0.26,0.7,0.47
7MKT,0.26,0.04,0.25,0.0,0.25,0.05,0.19,0.18
7PS8,0.22,0.1,0.19,0.16,0.18,0.03,0.19,0.18
7Q48,0.25,0.14,0.23,0.18,0.18,0.09,0.22,0.22
7Q6L,0.26,0.22,0.28,0.2,0.23,0.15,0.23,0.28
7QA2,0.28,0.23,0.25,0.25,0.26,0.14,0.23,0.24
7RWR,0.54,0.54,0.52,0.43,0.48,0.44,0.52,0.57
7SHX,0.48,0.5,0.54,0.56,0.44,0.28,0.48,0.47
7SXP,0.24,0.12,0.23,0.0,0.21,0.08,0.22,0.19
7UGA,0.78,0.66,0.61,0.67,0.64,0.34,0.64,0.69
7UMC,0.63,0.71,0.46,0.57,0.53,0.41,0.63,0.55
7UMD,0.65,0.6,0.57,0.54,0.46,0.38,0.6,0.46
7UME,0.67,0.67,0.66,0.59,0.6,0.3,0.63,0.5
7V06,0.68,0.75,0.79,0.73,0.54,0.52,0.67,0.49
7WIA,0.75,0.73,0.64,0.55,0.6,0.51,0.6,0.69
8BTZ,0.74,0.63,0.77,0.76,0.64,0.35,0.66,0.54
8BU8,0.65,0.57,0.61,0.26,0.51,0.13,0.19,0.57
8BWT,0.73,0.74,0.74,0.69,0.58,0.6,0.64,0.62
8CLR,0.78,0.75,0.7,0.55,0.61,0.41,0.78,0.61
8CQ1,0.77,0.73,0.75,0.75,0.75,0.58,0.67,0.68
8FB3,0.63,0.42,0.25,0.29,0.78,0.1,0.69,0.48
8FCS,0.83,0.8,0.81,0.73,0.8,0.74,0.68,0.73
8FZA,0.66,0.19,0.41,0.55,0.33,0.08,0.53,0.55
8HB8,0.37,0.29,0.31,0.29,0.17,0.13,0.39,0.31
8I43,0.51,0.77,0.72,0.73,0.57,0.38,0.7,0.64
8I44,0.69,0.8,0.71,0.61,0.6,0.5,0.69,0.52
8I45,0.68,0.58,0.66,0.7,0.38,0.15,0.69,0.52
8I46,0.71,0.74,0.71,0.69,0.47,0.13,0.68,0.64
8ITS,0.55,0.49,0.55,0.54,0.53,0.34,0.55,0.4
8JHP,0.49,0.5,0.63,0.47,0.43,0.4,0.5,0.5
8K2Z,0.68,0.4,0.56,0.63,0.43,0.16,0.61,0.49
