PDB_ID,Model_ID,TM_Score
8CLR,m_8CLR,0.76219
7UMC,m_7UMC,0.45943
9EOW,m_9EOW,0.81129
8QO2,m_8QO2,0.26705
R1241,m_R1241,0.13764
7WIA,m_7WIA,0.55495
R1205,m_R1205,0.31306
8UTG,m_8UTG,0.18838
8VPV,m_8VPV,0.68223
R1248,m_R1248,0.20067
7Q48,m_7Q48,0.26452
7SXP,m_7SXP,0.22547
R1296,m_R1296,0.38409
R1288,m_R1288,0.31659
R1209,m_R1209,0.33858
8WA4,m_8WA4,0.28176
8QO4,m_8QO4,0.29862
8BTZ,m_8BTZ,0.25946
7UMD,m_7UMD,0.48569
8UPT,m_8UPT,0.72881
8V1H,m_8V1H,0.75754
8ITS,m_8ITS,0.41326
7SHX,m_7SHX,0.29929
8VCI,m_8VCI,0.37499
R1285,m_R1285,0.20304
7UGA,m_7UGA,0.59944
7V06,m_7V06,0.6984
R1293,m_R1293,0.54765
8XZL,m_8XZL,0.47018
8EDP,m_8EDP,0.1665
8Q4O,m_8Q4O,0.25911
8BM6,m_8BM6,0.47973
7UME,m_7UME,0.86687
R1242,m_R1242,0.15985
8TNS,m_8TNS,0.45214
9BUN,m_9BUN,0.56782
8BWT,m_8BWT,0.66083
R1252,m_R1252,0.10488
R1264,m_R1264,0.88224
8I44,m_8I44,0.65631
R1212,m_R1212,0.31275
R1256,m_R1256,0.25903
R1281,m_R1281,0.0871
8CQ1,m_8CQ1,0.78521
8JHP,m_8JHP,0.5841
7UCR,m_7UCR,0.96868
R1286,m_R1286,0.09348
R1211,m_R1211,0.4025
8FCS,m_8FCS,0.73287
8VT5,m_8VT5,0.82223
