PDB_ID,Total_DockQ_Score,DockQ_Score,F1_Score,Native_chains,Model_chains,Type,Model_ID,TM_Score,ptm,iptm
7TZR,0.006,0.006,0.0,"X, Y","A, B","rna, rna",m_7TZR,0.45212,0.49,0.27
7UIM,0.004,0.004,0.0,"B, D","A, B","rna, protein",m_7UIM,0.42502,0.39,0.2
7VKL,0.014,0.014,0.0,"A, B","A, B","protein, rna",m_7VKL,0.89516,0.85,0.87
7VSJ,0.173,0.173,0.089,"A, B","A, B","protein, rna",m_7VSJ,0.95885,0.9,0.78
7VTI,0.244,0.244,0.334,"A, B","B, A","protein, rna",m_7VTI,0.82091,0.78,0.89
7XKM,0.406,0.157,0.0,"A, C","A, C","rna, rna",m_7XKM,0.59062,0.31,0.22
7XKM,0.406,0.432,0.615,"A, B","A, B","rna, rna",m_7XKM,0.59062,0.31,0.22
7XKM,0.406,0.442,0.588,"C, D","C, D","rna, rna",m_7XKM,0.59062,0.31,0.22
7XKM,0.406,0.49,1.0,"A, D","A, D","rna, rna",m_7XKM,0.59062,0.31,0.22
7XKM,0.406,0.507,1.0,"B, C","B, C","rna, rna",m_7XKM,0.59062,0.31,0.22
7YEX,0.528,0.528,0.811,"A, B","A, B","protein, rna",m_7YEX,0.9523,0.91,0.81
7YEY,0.013,0.013,0.0,"A, B","A, B","protein, rna",m_7YEY,0.90272,0.83,0.69
7YFQ,0.638,0.579,0.545,"C, A","B, C","rna, protein",m_7YFQ,0.87954,0.82,0.78
7YFQ,0.638,0.631,0.76,"B, A","A, C","rna, protein",m_7YFQ,0.87954,0.82,0.78
7YFQ,0.638,0.704,0.907,"B, C","A, B","rna, rna",m_7YFQ,0.87954,0.82,0.78
7YFX,0.385,0.385,0.576,"A, B","A, B","protein, rna",m_7YFX,0.91947,0.71,0.78
7YFY,0.603,0.473,0.495,"A, B","B, A","protein, rna",m_7YFY,0.83905,0.85,0.82
7YFY,0.603,0.606,0.58,"A, C","B, C","protein, rna",m_7YFY,0.83905,0.85,0.82
7YFY,0.603,0.731,0.96,"C, B","C, A","rna, rna",m_7YFY,0.83905,0.85,0.82
