ID,ranking_score
8UPT_1,0.8394
8UPT_2,0.833
8UPT_3,0.8364
8UPT_4,0.8438
8BWT_1,0.9756
8BWT_2,0.9756
8BWT_3,0.9756
8BWT_4,0.9756
8BM6_1,0.8223
8BM6_2,0.8213
8BM6_3,0.8228
8BM6_4,0.8223
8CQ1_1,0.9116
8CQ1_2,0.9116
8CQ1_3,0.9116
8CQ1_4,0.9116
7UCR_1,0.965
7UCR_2,0.965
7UCR_3,0.965
7UCR_4,0.965
9EOW_1,0.9307
9EOW_2,0.9307
9EOW_3,0.93
9EOW_4,0.9307
8EDP_1,0.69
8EDP_2,0.6904
8EDP_3,0.6904
8EDP_4,0.69
8TNS_1,0.735
8TNS_2,0.735
8TNS_3,0.735
8TNS_4,0.7344
8V1H_1,0.7285
8V1H_2,0.7275
8V1H_3,0.7295
8V1H_4,0.725
8TJU_1,0.574
8TJU_2,0.574
8TJU_3,0.5737
8TJU_4,0.574
8XZL_1,0.8784
8XZL_2,0.8784
8XZL_3,0.8784
8XZL_4,0.8784
8FCS_1,0.862
8FCS_2,0.864
8FCS_3,0.862
8FCS_4,0.864
8UYE_1,0.727
8UYE_2,0.727
8UYE_3,0.7266
8UYE_4,0.7266
8I44_1,0.9517
8I44_2,0.9517
8I44_3,0.9517
8I44_4,0.9517
8QO2_1,0.6636
8QO2_2,0.6616
8QO2_3,0.661
8QO2_4,0.662
8CLR_1,0.907
8CLR_2,0.907
8CLR_3,0.9077
8CLR_4,0.9077
7UME_1,0.8696
7UME_2,0.8696
7UME_3,0.8696
7UME_4,0.8696
8V1I_1,0.761
8V1I_2,0.764
8V1I_3,0.7627
8V1I_4,0.7646
7ZJ5_1,0.565
7ZJ5_2,0.565
7ZJ5_3,0.5654
7ZJ5_4,0.565
7SHX_1,0.807
7SHX_2,0.808
7SHX_3,0.807
7SHX_4,0.8076
8TVZ_1,0.6
8TVZ_2,0.5996
8TVZ_3,0.6006
8TVZ_4,0.6
7QDU_1,0.5283
7QDU_2,0.527
7QDU_3,0.5283
7QDU_4,0.528
7Q48_1,0.797
7Q48_2,0.796
7Q48_3,0.7915
7Q48_4,0.797
7WIA_1,0.887
7WIA_2,0.887
7WIA_3,0.887
7WIA_4,0.8877
9BUN_1,0.8105
9BUN_2,0.8105
9BUN_3,0.8105
9BUN_4,0.811
8K15_1,0.5015
8K15_2,0.5024
8K15_3,0.5
8K15_4,0.5034
7SXP_1,0.7285
7SXP_2,0.729
7SXP_3,0.728
7SXP_4,0.7275
8BTZ_1,0.6333
8BTZ_2,0.6333
8BTZ_3,0.6333
8BTZ_4,0.6333
8QO3_1,0.818
8QO3_2,0.818
8QO3_3,0.818
8QO3_4,0.8174
8WA4_1,0.662
8WA4_2,0.6616
8WA4_3,0.662
8WA4_4,0.6616
8VPV_1,0.7476
8VPV_2,0.747
8VPV_3,0.696
8VPV_4,0.7495
8Q4O_1,0.8545
8Q4O_2,0.856
8Q4O_3,0.856
8Q4O_4,0.8555
8VCI_1,0.805
8VCI_2,0.807
8VCI_3,0.807
8VCI_4,0.8057
7UGA_1,0.8384
7UGA_2,0.839
7UGA_3,0.839
7UGA_4,0.8384
8QO4_1,0.708
8QO4_2,0.7085
8QO4_3,0.708
8QO4_4,0.708
7UMD_1,0.897
7UMD_2,0.897
7UMD_3,0.897
7UMD_4,0.897
8UTG_1,0.8223
8UTG_2,0.8223
8UTG_3,0.8223
8UTG_4,0.822
8SCH_1,0.822
8SCH_2,0.8213
8SCH_3,0.82
8SCH_4,0.821
8BU8_1,0.59
8BU8_2,0.59
8BU8_3,0.5894
8BU8_4,0.59
8UYS_1,0.762
8UYS_2,0.7637
8UYS_3,0.7627
8UYS_4,0.7627
8JHP_1,0.908
8JHP_2,0.9077
8JHP_3,0.9077
8JHP_4,0.908
8ITS_1,0.916
8ITS_2,0.916
8ITS_3,0.916
8ITS_4,0.916
7UMC_1,0.893
7UMC_2,0.893
7UMC_3,0.893
7UMC_4,0.893
7V06_1,0.867
7V06_2,0.8696
7V06_3,0.865
7V06_4,0.8696
8VT5_1,0.8584
8VT5_2,0.7407
8VT5_3,0.8555
8VT5_4,0.8564
8D4B_1,0.1705
8D4B_2,0.1683
8D4B_3,0.1613
8D4B_4,0.1725
8WCE_1,0.1584
8WCE_2,0.1622
8WCE_3,0.159
8WCE_4,0.1588
8ID2_1,0.7656
8ID2_2,0.7666
8ID2_3,0.77
8ID2_4,0.7554
8ID2_5,0.7544
8SXL_1,0.931
8SXL_2,0.931
8SXL_3,0.931
8SXL_4,0.931
8K34_1,0.682
8K34_2,0.687
8K34_3,0.6885
8K34_4,0.6855
8HZJ_1,0.808
8HZJ_2,0.8086
8HZJ_3,0.809
8HZJ_4,0.809
7YFX_1,0.6025
7YFX_2,0.6074
7YFX_3,0.6084
7YFX_4,0.6055
8KI8_1,0.2047
8KI8_2,0.3733
8KI8_3,0.1995
8D49_1,0.1661
8D49_2,0.145
8D49_3,0.164
8D49_4,0.1636
M1209_1,0.783
M1209_2,0.7827
M1209_3,0.7812
M1209_4,0.7754
7YG6_1,0.7285
7YG6_2,0.732
