PDB_ID,Model_ID,TM_Score
7Q48,m_7Q48,0.28655
7SHX,m_7SHX,0.24279
7SXP,m_7SXP,0.22933
7UCR,m_7UCR,0.99042
7UGA,m_7UGA,0.59645
7UMC,m_7UMC,0.45235
7UMD,m_7UMD,0.49285
7UME,m_7UME,0.82381
7V06,m_7V06,0.56898
7WIA,m_7WIA,0.65115
8BTZ,m_8BTZ,0.29887
8BWT,m_8BWT,0.71581
8CLR,m_8CLR,0.95014
8CQ1,m_8CQ1,0.80433
8FCS,m_8FCS,0.81835
8I44,m_8I44,0.53453
8ITS,m_8ITS,0.39858
8JHP,m_8JHP,0.46193
8Q4O,m_8Q4O,0.29688
8QO2,m_8QO2,0.29788
8QO4,m_8QO4,0.38598
8TNS,m_8TNS,0.4488
8UPT,m_8UPT,0.80752
8UTG,m_8UTG,0.27443
8V1H,m_8V1H,0.76165
8VCI,m_8VCI,0.33034
8VPV,m_8VPV,0.75719
8VT5,m_8VT5,0.76537
8XZL,m_8XZL,0.50644
9BUN,m_9BUN,0.53863
9EOW,m_9EOW,0.7258
R1205,m_R1205,0.4358
R1209,m_R1209,0.35382
R1211,m_R1211,0.53318
R1212,m_R1212,0.23784
R1241,m_R1241,0.13532
R1242,m_R1242,0.16069
R1248,m_R1248,0.20619
R1252,m_R1252,0.10561
R1256,m_R1256,0.25359
R1264,m_R1264,0.83891
R1281,m_R1281,0.1003
R1285,m_R1285,0.16845
R1286,m_R1286,0.09301
R1288,m_R1288,0.57328
R1293,m_R1293,0.37319
R1296,m_R1296,0.44333
