PDB_ID,AF 3,Boltz-1,HF3,RoseTTAFoldNA
7ECJ,2.105,2.204,2.121,1.772
7ECK,2.941,2.481,2.375,1.651
7PDU,20.513,18.248,19.259,46.279
7UR5,87.305,53.249,94.244,33.412
7UU3,40.274,32.828,28.092,58.762
7V94,14.738,61.105,54.907,65.564
7YOJ,46.925,54.473,59.619,68.923
8D9G,53.406,73.204,90.384,287.719
8DC2,26.963,74.005,54.536,109.691
8DMB,37.362,60.32,50.357,90.4
8FTI,55.642,59.08,56.196,62.294
8H1J,109.389,73.697,46.311,78.005
8HB1,8.468,15.059,7.819,34.352
8HB3,22.891,18.61,9.043,35.344
8HBA,56.179,39.303,62.412,45.536
8HIO,45.999,45.277,64.095,58.599
8HKE,79.903,61.615,70.877,61.728
8HZJ,40.381,44.671,48.571,39.098
8HZK,49.291,40.336,44.921,46.768
8HZL,49.906,50.189,62.004,93.172
8IBW,46.741,98.354,59.571,69.589
8IBY,73.622,44.347,52.104,45.294
8IBZ,68.744,51.502,62.553,53.724
8J9G,58.222,56.294,55.451,63.356
8JL0,9.349,4.702,56.592,88.496
8K0Y,67.65,52.993,53.065,35.564
8OPP,26.537,26.895,38.626,30.656
8PM4,41.214,26.76,54.475,73.145
8T2P,111.046,76.47,99.597,122.333
8VFS,3.351,3.408,21.871,49.475
8WFA,36.079,30.717,63.407,44.253
8WRU,61.417,45.372,63.235,95.164
8XCC,39.201,55.806,70.479,84.687
8XTP,63.846,84.288,55.498,97.651
8Y9L,73.397,53.492,41.137,50.491
8Y9M,69.472,54.467,63.768,65.024
8YDC,10.342,6.483,8.013,23.325
8Z9K,34.278,17.211,37.755,17.579
9BXE,3.174,2.495,4.874,6.748
9C0I,45.113,49.686,64.414,61.496
9CER,48.912,57.918,49.249,44.969
9CEU,15.573,17.506,81.483,64.797
9CPD,2.827,2.247,2.7,1.917
9CPJ,2.965,2.489,1.631,3.331
9DIB,62.457,68.62,77.076,49.425
9DIG,59.961,53.591,57.348,62.906
9DII,58.579,40.892,60.089,51.728
9GBZ,50.86,31.615,57.926,75.719
9H82,57.701,41.055,61.571,53.312
9H83,76.309,40.084,46.003,76.779
9I8B,3.808,4.5,5.405,4.285
9JSP,2.529,2.152,59.839,89.36
9KAD,16.694,16.125,16.211,16.125
9KPH,88.066,70.632,69.137,91.129
9KPO,50.378,84.146,58.743,100.493
9NVU,66.665,53.973,61.386,110.49
