PDB_ID,Model_ID,TM_Score
8CLR,8CLR_3,0.94119
8CLR,8CLR_2,0.94170
8CLR,8CLR_1,0.94143
8CLR,8CLR,0.94127
8CLR,8CLR_4,0.94143
8UYS,8UYS_1,0.30248
8UYS,8UYS,0.30265
8UYS,8UYS_4,0.30248
8UYS,8UYS_2,0.30243
8UYS,8UYS_3,0.30233
7UMC,7UMC_3,0.67538
7UMC,7UMC_2,0.67552
7UMC,7UMC,0.67531
7UMC,7UMC_1,0.67570
7UMC,7UMC_4,0.67568
9EOW,9EOW_2,0.69842
9EOW,9EOW_4,0.68657
9EOW,9EOW_1,0.69841
9EOW,9EOW,0.69882
9EOW,9EOW_3,0.69865
8QO2,8QO2,0.24792
8QO2,8QO2_3,0.24372
8QO2,8QO2_1,0.24954
8QO2,8QO2_2,0.23949
8QO2,8QO2_4,0.25272
R1241,R1241_4,0.09880
R1241,R1241_1,0.09076
R1241,R1241_2,0.09832
R1241,R1241_3,0.09419
R1241,R1241,0.09887
8V1I,8V1I_1,0.56270
8V1I,8V1I_4,0.56303
8V1I,8V1I,0.56384
8V1I,8V1I_3,0.56181
8V1I,8V1I_2,0.56075
7WIA,7WIA_3,0.70190
7WIA,7WIA_2,0.70175
7WIA,7WIA_1,0.70136
7WIA,7WIA,0.70148
7WIA,7WIA_4,0.70199
R1205,R1205_1,0.44891
R1205,R1205_4,0.44869
R1205,R1205_3,0.44880
R1205,R1205_2,0.44883
R1205,R1205,0.44894
R1262,R1262_1,0.76867
R1262,R1262,0.77692
R1262,R1262_3,0.75213
R1262,R1262v2,0.77114
R1262,R1262_2,0.78355
R1262,R1262_4,0.76662
7ZJ5,7ZJ5_1,0.16728
7ZJ5,7ZJ5_4,0.16748
7ZJ5,7ZJ5_3,0.16608
7ZJ5,7ZJ5_2,0.16976
7ZJ5,7ZJ5,0.16613
8UYE,8UYE_1,0.34090
8UYE,8UYE,0.34084
8UYE,8UYE_3,0.34038
8UYE,8UYE_4,0.34089
8UYE,8UYE_2,0.34096
8UTG,8UTG_2,0.32842
8UTG,8UTG_1,0.32778
8UTG,8UTG_4,0.32837
8UTG,8UTG,0.32797
8UTG,8UTG_3,0.32834
8VPV,8VPV_1,0.59158
8VPV,8VPV_3,0.49280
8VPV,8VPV_4,0.57095
8VPV,8VPV,0.58002
8VPV,8VPV_2,0.59509
R1248,R1248,0.13249
R1248,R1248_1,0.16487
R1248,R1248_4,0.16427
R1248,R1248_2,0.16276
R1248,R1248_3,0.14868
7Q48,7Q48_2,0.28579
7Q48,7Q48_1,0.28749
7Q48,7Q48_3,0.28317
7Q48,7Q48_4,0.28809
7Q48,7Q48,0.28409
7SXP,7SXP,0.24418
7SXP,7SXP_2,0.24416
7SXP,7SXP_1,0.24476
7SXP,7SXP_3,0.24432
7SXP,7SXP_4,0.22633
R1263,R1263_3,0.98136
R1263,R1263v1_4,0.98176
R1263,R1263,0.98159
R1263,R1263_2,0.98134
R1263,R1263v1_1,0.98213
R1263,R1263v1_3,0.98136
R1263,R1263_1,0.98140
R1263,R1263v1,0.98150
R1263,R1263_4,0.98124
R1263,R1263v1_2,0.98152
7QDU,7QDU_1,0.08732
7QDU,7QDU,0.08724
7QDU,7QDU_3,0.09066
7QDU,7QDU_4,0.08735
7QDU,7QDU_2,0.08554
8TVZ,8TVZ_1,0.13801
8TVZ,8TVZ_3,0.13776
8TVZ,8TVZ_2,0.14583
8TVZ,8TVZ_4,0.13811
8TVZ,8TVZ,0.13761
R1253v1,R1253v1_2,0.08297
R1253v1,R1253v1_1,0.10812
R1253v1,R1253v1_3,0.08327
R1253v1,R1253v1,0.09730
R1253v1,R1253v1_4,0.08283
R1296,R1296_1,0.58515
R1296,R1296_2,0.54725
R1296,R1296,0.54317
R1296,R1296_3,0.55098
R1296,R1296_4,0.54355
R1288,R1288,0.58763
R1288,R1288_4,0.58772
R1288,R1288_2,0.58764
R1288,R1288_3,0.58745
R1288,R1288_1,0.58769
R1209,R1209_4,0.35970
R1209,R1209_1,0.35884
R1209,R1209_3,0.36862
R1209,R1209,0.36466
R1209,R1209_2,0.35796
8WA4,8WA4,0.27920
8WA4,8WA4_3,0.27951
8WA4,8WA4_1,0.27925
8WA4,8WA4_2,0.27919
8WA4,8WA4_4,0.27926
8QO4,8QO4_4,0.36812
8QO4,8QO4_2,0.36761
8QO4,8QO4,0.36889
8QO4,8QO4_1,0.36709
8QO4,8QO4_3,0.36713
8BTZ,8BTZ,0.22261
8BTZ,8BTZ_3,0.22205
8BTZ,8BTZ_1,0.22216
8BTZ,8BTZ_2,0.22000
8BTZ,8BTZ_4,0.22116
7UMD,7UMD_4,0.69747
7UMD,7UMD_1,0.69742
7UMD,7UMD_3,0.69734
7UMD,7UMD,0.69733
7UMD,7UMD_2,0.69730
8K15,8K15_1,0.09260
8K15,8K15_3,0.09010
8K15,8K15_4,0.09007
8K15,8K15_2,0.09142
8K15,8K15,0.09761
R1261v1,R1261v1_4,0.74417
R1261v1,R1261v1_3,0.70847
R1261v1,R1261v1_2,0.72803
R1261v1,R1261v1_1,0.72940
R1261v1,R1261v1,0.72936
8UPT,8UPT_3,0.60576
8UPT,8UPT_4,0.61544
8UPT,8UPT_2,0.60418
8UPT,8UPT_1,0.60908
8UPT,8UPT,0.59348
8V1H,8V1H_4,0.62451
8V1H,8V1H_2,0.62152
8V1H,8V1H_1,0.62589
8V1H,8V1H_3,0.61954
8V1H,8V1H,0.62637
8ITS,8ITS_2,0.42496
8ITS,8ITS_1,0.42511
8ITS,8ITS_3,0.42502
8ITS,8ITS_4,0.43182
8ITS,8ITS,0.42502
R1255,R1255_3,0.26682
R1255,R1255_2,0.26741
R1255,R1255_4,0.27146
R1255,R1255_1,0.26758
R1255,R1255,0.26754
8TJU,8TJU_2,0.11051
8TJU,8TJU_4,0.11074
8TJU,8TJU,0.10784
8TJU,8TJU_1,0.10615
8TJU,8TJU_3,0.10901
7SHX,7SHX_2,0.24722
7SHX,7SHX_3,0.27011
7SHX,7SHX_4,0.25237
7SHX,7SHX,0.24606
7SHX,7SHX_1,0.24560
8VCI,8VCI_1,0.33431
8VCI,8VCI_3,0.33338
8VCI,8VCI_4,0.33518
8VCI,8VCI_2,0.33436
8VCI,8VCI,0.33326
R1285,R1285_4,0.15516
R1285,R1285,0.16390
R1285,R1285_3,0.14780
R1285,R1285_1,0.15073
R1285,R1285_2,0.13914
7UGA,7UGA_3,0.62388
