PDB_ID,Model_ID,TM_Score,ptm
7Q48,m_7Q48,0.35561,0.14
7SHX,m_7SHX,0.32506,0.36
7SXP,m_7SXP,0.22728,0.17
7UCR,m_7UCR,0.99625,0.46
7UGA,m_7UGA,0.63023,0.34
7UMC,m_7UMC,0.45085,0.32
7UMD,m_7UMD,0.46331,0.3
7UME,m_7UME,0.79755,0.26
7V06,m_7V06,0.67901,0.39
7WIA,m_7WIA,0.56339,0.32
8BTZ,m_8BTZ,0.2357,0.27
8BWT,m_8BWT,0.74355,0.28
8CLR,m_8CLR,0.94484,0.02
8CQ1,m_8CQ1,0.82017,0.41
8FCS,m_8FCS,0.8483,0.46
8I44,m_8I44,0.51966,0.01
8ITS,m_8ITS,0.4009,0.26
8JHP,m_8JHP,0.69356,0.24
8Q4O,m_8Q4O,0.23668,0.13
8QO2,m_8QO2,0.3329,0.23
8QO4,m_8QO4,0.44898,0.28
8TNS,m_8TNS,0.39987,0.26
8UPT,m_8UPT,0.83484,0.45
8UTG,m_8UTG,0.18994,0.06
8V1H,m_8V1H,0.81269,0.57
8VCI,m_8VCI,0.28512,0.28
8VPV,m_8VPV,0.50801,0.3
8VT5,m_8VT5,0.92899,0.51
8XZL,m_8XZL,0.44106,0.3
9BUN,m_9BUN,0.43933,0.3
9EOW,m_9EOW,0.71519,0.33
R1205,m_R1205,0.43255,0.29
R1209,m_R1209,0.42342,0.24
R1211,m_R1211,0.55239,0.4
R1212,m_R1212,0.31693,0.22
R1241,m_R1241,0.30908,0.41
R1242,m_R1242,0.23199,0.26
R1248,m_R1248,0.2389,0.22
R1252,m_R1252,0.12095,0.17
R1256,m_R1256,0.28305,0.24
R1264,m_R1264,0.5069,0.45
R1281,m_R1281,0.11172,0.2
R1285,m_R1285,0.29751,0.24
R1286,m_R1286,0.13784,0.2
R1288,m_R1288,0.50462,0.29
R1293,m_R1293,0.53969,0.27
R1296,m_R1296,0.42488,0.24
