PDB_ID,Model_ID,TM_Score
7Q48,m_7Q48,0.28749
7SHX,m_7SHX,0.24722
7SXP,m_7SXP,0.24416
7UCR,m_7UCR,0.98334
7UGA,m_7UGA,0.62319
7UMC,m_7UMC,0.6757
7UMD,m_7UMD,0.69742
7UME,m_7UME,0.84736
7V06,m_7V06,0.687
7WIA,m_7WIA,0.70199
8BTZ,m_8BTZ,0.22216
8BWT,m_8BWT,0.72135
8CLR,m_8CLR,0.94119
8CQ1,m_8CQ1,0.79425
8FCS,m_8FCS,0.80042
8I44,m_8I44,0.66508
8ITS,m_8ITS,0.42511
8JHP,m_8JHP,0.72365
8Q4O,m_8Q4O,0.34658
8QO2,m_8QO2,0.24954
8QO4,m_8QO4,0.36761
8TNS,m_8TNS,0.29707
8UPT,m_8UPT,0.61544
8UTG,m_8UTG,0.32778
8V1H,m_8V1H,0.61954
8VCI,m_8VCI,0.33436
8VPV,m_8VPV,0.57095
8VT5,m_8VT5,0.76993
8XZL,m_8XZL,0.65245
9BUN,m_9BUN,0.51857
9EOW,m_9EOW,0.69841
R1205,m_R1205,0.44869
R1209,m_R1209,0.35796
R1211,m_R1211,0.3999
R1212,m_R1212,0.24672
R1241,m_R1241,0.09076
R1242,m_R1242,0.15992
R1248,m_R1248,0.16487
R1252,m_R1252,0.1003
R1256,m_R1256,0.30239
R1264,m_R1264,0.90458
R1281,m_R1281,0.07553
R1285,m_R1285,0.15516
R1286,m_R1286,0.11952
R1288,m_R1288,0.58769
R1293,m_R1293,0.30874
R1296,m_R1296,0.55098
