PDB_ID,AF 3,Boltz-1,HF3,RoseTTAFoldNA
7DA7,0.0,0.029,0.085,0.0
7P0V,0.4,0.424,0.05,0.132
7PMM,0.0,0.129,0.0,0.0
7QR3,0.0,0.0,0.0,0.0
7QR4,0.917,0.855,0.152,0.832
7SC6,0.0,0.0,0.0,0.0
7SCQ,0.0,0.0,0.0,0.0
7TNX,0.758,0.493,0.0,0.0
7TNY,0.699,0.569,0.0,0.0
7TO0,0.677,0.0,0.929,0.0
7TO1,0.633,0.451,0.0,0.052
7TO2,0.0,0.0,0.0,0.0
7U2A,0.641,0.353,0.0,0.0
7UIM,0.0,0.0,0.0,0.0
7XJZ,0.346,0.338,0.463,0.047
7YFQ,0.571,0.5,0.012,0.0
7YFX,0.503,0.503,0.049,0.0
7YFY,0.495,0.394,0.03,0.0
7YG6,0.759,0.683,0.748,0.0
7YGN,0.736,0.727,0.0,0.0
8AF0,0.0,0.0,0.0,0.0
8B9K,0.0,0.043,0.0,0.0
8CTI,0.0,0.0,0.0,0.0
8DVR,0.483,0.028,0.012,0.162
8DVS,0.604,0.406,0.015,0.0
8E28,0.0,0.351,0.014,0.547
8E29,0.735,0.652,0.649,0.414
8E2A,0.083,0.653,0.049,0.241
8GZP,0.014,0.0,0.0,0.0
8GZR,0.0,0.3,0.0,0.0
8H1B,0.0,0.0,0.0,0.0
8HNT,0.0,0.0,0.0,0.0
8HNW,0.788,0.73,0.003,0.0
8HUD,0.0,0.597,0.012,0.0
8I3Q,0.0,0.05,0.0,0.0
8ID2,0.143,0.027,0.0,0.0
8IDF,0.145,0.199,0.0,0.0
8IEW,0.384,0.23,0.0,0.0
8IFK,0.096,0.4,0.0,0.0
8IN8,0.302,0.609,0.0,0.0
8IPM,0.086,0.059,0.0,0.0
8J8H,0.405,0.5,0.0,0.0
8JTJ,0.675,0.672,0.0,0.0
8JTR,0.578,0.369,0.476,0.014
8KAG,0.337,0.21,0.0,0.0
8OKD,0.372,0.0,0.0,0.0
8OMR,0.776,0.0,0.794,0.0
8PJB,0.217,0.023,0.056,0.133
8PVV,0.011,0.0,0.0,0.0
8QG0,0.371,0.062,0.0,0.0
8R0S,0.412,0.463,0.0,0.0
8SCZ,0.798,0.639,0.014,0.0
8SD0,0.836,0.638,0.026,0.253
8SFH,0.47,0.364,0.0,0.0
8SFI,0.776,0.789,0.0,0.0
8SFJ,0.901,0.589,0.0,0.0
8SFL,0.498,0.45,0.0,0.0
8SFN,0.58,0.43,0.0,0.0
8SFR,0.8,0.672,0.0,0.0
8SH5,0.714,0.875,0.615,0.0
8SQU,0.465,0.485,0.0,0.0
8SXT,0.0,0.028,0.0,0.0
8T29,0.889,0.545,0.881,0.0
8UZA,0.767,0.712,0.0,0.0
8VIV,0.866,0.88,0.084,0.135
8VMB,0.725,0.857,0.867,0.0
8WRR,0.0,0.102,0.0,0.0
8WRS,0.711,0.0,0.0,0.0
8WRT,0.0,0.034,0.05,0.0
8WRV,0.0,0.0,0.0,0.0
8WS9,0.0,0.0,0.0,0.0
8X5V,0.821,0.705,0.0,0.0
8XYC,0.031,0.0,0.0,0.0
8Y03,0.704,0.624,0.0,0.18
8Y04,0.909,0.416,0.0,0.0
8Y0C,0.881,0.808,0.0,0.0
8Y0D,0.769,0.637,0.0,0.0
8Y7Z,0.151,0.448,0.0,0.0
8Z1F,0.0,0.354,0.0,0.0
8ZMI,0.0,0.04,0.0,0.0
8ZNJ,0.204,0.0,0.008,0.0
8ZTY,0.338,0.0,0.003,0.009
9B2K,0.567,0.584,0.0,0.0
9CMP,0.438,0.4,0.0,0.0
9DCF,0.0,0.0,0.0,0.0
9DTT,0.0,0.0,0.0,0.0
9E7G,0.0,0.839,0.0,0.0
9ENE,0.48,0.0,0.0,0.0
9FCV,0.0,0.057,0.0,0.005
9IIY,0.505,0.481,0.0,0.0
9IIZ,0.0,0.485,0.0,0.0
9IJ0,0.304,0.462,0.0,0.0
9IJ1,0.0,0.01,0.0,0.0
9IJ2,0.367,0.207,0.368,0.0
9IJ3,0.583,0.698,0.021,0.0
9IJ4,0.636,0.565,0.033,0.0
9IJ5,0.61,0.659,0.372,0.0
9L6Y,0.944,0.88,0.208,0.231
9MX3,0.306,0.0,0.0,0.0
M1209,0.935,0.906,0.897,0.0
M1293,0.8,0.571,0.921,0.0
M1296,0.8,0.25,1.0,0.0
