PDB_ID,TM-scoreRNA,INF-ALL,INF-WC,INF-NWC,INF-STACK,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lddt,C-lddt,TM_ScoreMAX
7EXY,0.16804,0.84,1.0,1.0,0.76,0.7,0.38,0.56,0.88,1.0,0.6,0.65,0.41993
7KUB,0.33309,0.64,0.49,0.0,0.76,0.23,0.13,0.22,0.28,0.28,0.52,0.57,0.56407
7KUC,0.26203,0.82,0.91,,0.78,0.88,0.62,0.88,1.0,1.0,0.61,0.81,0.57192
7KUD,0.12448,0.85,1.0,,0.78,0.79,0.38,0.77,1.0,1.0,0.7,0.78,0.55547
7MKT,0.06848,0.0,,,0.0,0.25,0.13,0.17,0.22,0.48,0.19,0.28,0.21263
7PS8,0.1169,0.23,,,0.32,0.29,0.17,0.22,0.35,0.44,0.19,0.25,0.19502
7Q48,0.11763,0.37,,,0.57,0.32,0.18,0.27,0.32,0.5,0.22,0.31,0.25155
7Q6L,0.12734,0.36,,,0.55,0.32,0.18,0.27,0.32,0.5,0.23,0.38,0.21371
7QA2,0.1641,0.45,,,0.67,0.33,0.18,0.27,0.36,0.5,0.23,0.37,0.21769
7RWR,0.39044,0.69,0.87,0.0,0.68,0.62,0.32,0.6,0.74,0.84,0.52,0.54,0.47046
7SHX,0.19728,0.62,0.56,0.0,0.71,0.19,0.08,0.13,0.23,0.32,0.48,0.58,0.35912
7SXP,0.06944,0.44,,,0.69,0.36,0.21,0.26,0.37,0.58,0.22,0.29,0.22235
7UGA,0.33502,0.84,0.81,,0.86,0.53,0.3,0.46,0.56,0.79,0.64,0.73,0.44115
7UMC,0.36128,0.78,0.92,0.0,0.75,0.45,0.14,0.31,0.49,0.86,0.63,0.68,0.41778
7UMD,0.3279,0.75,0.82,,0.76,0.55,0.22,0.38,0.62,0.98,0.6,0.69,0.35078
7UME,0.27976,0.78,0.82,,0.76,0.74,0.36,0.64,0.96,1.0,0.63,0.72,0.51294
7V06,0.3823,0.72,0.82,0.0,0.71,0.64,0.3,0.46,0.81,1.0,0.67,0.7,0.46901
7WIA,0.30375,0.7,0.8,0.26,0.7,0.24,0.1,0.2,0.29,0.37,0.6,0.65,0.49617
8BTZ,0.3763,0.77,0.89,0.0,0.73,0.22,0.08,0.14,0.26,0.39,0.66,0.69,0.36102
8BU8,0.15836,0.11,0.04,0.0,0.17,0.05,0.01,0.03,0.05,0.12,0.19,0.38,0.36292
8BWT,0.22829,0.82,0.95,,0.75,0.66,0.31,0.58,0.77,1.0,0.64,0.7,0.32736
8CLR,0.23224,0.94,1.0,,0.91,0.88,0.64,0.86,1.0,1.0,0.78,0.83,0.41608
8CQ1,0.36146,0.72,0.83,,0.68,0.64,0.23,0.48,0.86,1.0,0.67,0.77,0.48478
8FB3,0.46508,0.66,0.73,0.5,0.69,0.86,0.47,0.97,1.0,1.0,0.69,0.73,0.46721
8FCS,0.62008,0.78,0.82,,0.78,0.69,0.21,0.61,0.93,1.0,0.68,0.71,0.56747
8FZA,0.17132,0.48,0.8,0.13,0.51,0.65,0.24,0.41,0.93,1.0,0.53,0.6,0.44683
8HB8,0.21816,0.42,0.64,0.0,0.43,0.33,0.13,0.24,0.33,0.62,0.39,0.44,0.34484
8I43,0.15882,0.74,0.8,0.0,0.78,0.58,0.26,0.47,0.63,0.95,0.7,0.8,0.28083
8I44,0.15596,0.71,0.71,,0.74,0.62,0.26,0.47,0.74,1.0,0.69,0.74,0.32711
8I45,0.15649,0.84,1.0,,0.77,0.67,0.26,0.58,0.84,1.0,0.69,0.73,0.2893
8I46,0.19841,0.82,0.94,,0.75,0.62,0.21,0.53,0.79,0.95,0.68,0.73,0.28685
8ITS,0.21876,0.81,0.9,0.71,0.78,0.4,0.24,0.37,0.41,0.56,0.55,0.56,0.36242
8JHP,0.16361,0.64,0.75,0.0,0.63,0.56,0.26,0.33,0.67,0.96,0.5,0.59,0.30613
8K2Z,0.35743,0.79,0.93,0.71,0.73,0.56,0.21,0.35,0.68,1.0,0.61,0.67,0.50856
8K30,0.40124,0.38,0.14,0.0,0.52,0.65,0.21,0.46,0.92,1.0,0.65,0.68,0.56405
8K8B,0.16353,0.72,1.0,0.0,0.63,0.58,0.26,0.47,0.63,0.95,0.63,0.71,0.40757
8KEB,0.59691,0.31,0.0,0.0,0.5,0.67,0.17,0.56,0.96,1.0,0.64,0.66,0.68851
8Q4O,0.10461,0.15,,0.0,0.26,0.3,0.17,0.22,0.3,0.52,0.21,0.33,0.18369
8Q6N,0.3297,0.69,0.69,0.0,0.74,0.5,0.28,0.41,0.48,0.8,0.58,0.62,0.54936
8QO2,0.44752,0.52,0.44,0.0,0.58,0.07,0.04,0.07,0.09,0.1,0.53,0.56,0.41235
8QO3,0.43298,0.74,0.65,0.0,0.8,0.38,0.14,0.36,0.48,0.53,0.66,0.74,0.4036
8QO4,0.43898,0.66,0.67,0.0,0.68,0.31,0.07,0.17,0.43,0.56,0.55,0.58,0.44961
8QO5,0.26341,0.59,0.44,,0.67,0.21,0.08,0.17,0.24,0.36,0.55,0.63,0.4097
8SCF,0.29352,0.79,0.87,,0.79,0.75,0.4,0.67,0.93,1.0,0.68,0.72,0.50094
8SCH,0.3039,0.78,0.9,,0.72,0.38,0.16,0.32,0.41,0.62,0.6,0.62,0.39111
8T5O,0.3091,0.27,0.0,0.0,0.42,0.2,0.07,0.14,0.21,0.36,0.34,0.39,0.36606
8TNS,0.09314,0.0,,0.0,0.0,0.24,0.12,0.17,0.25,0.42,0.22,0.28,0.18641
