PDB,AF3,Boltz,HF3,RFNA
7TZR,0.45212,0.45935,0.4168,0.45701
7UIM,0.42502,0.40669,0.07984,0.39234
7VSJ,0.95885,0.96953,0.98275,0.57748
7VTI,0.82091,0.25592,0.15565,0.15225
7XKM,0.59062,0.36782,0.39057,0.30721
7YEX,0.9523,0.97217,0.98337,0.57107
7YEY,0.90272,0.92527,0.92142,0.90716
7YFQ,0.87954,0.8052,0.16535,0.75046
7YFX,0.91947,0.80124,0.91245,0.78015
7YFY,0.83905,0.76816,0.16111,0.76018
7YGN,0.88534,0.79798,0.90724,0.80903
8D49,0.54303,0.58886,0.17585,0.09909
8D4B,0.49322,0.45217,0.13387,0.08928
8D71,0.95872,0.88478,0.86209,0.77024
8E29,0.92924,0.88257,0.9316,0.83992
8E2A,0.68504,0.67371,0.1925,0.68002
8EYU,0.19488,0.3085,0.38773,0.31808
8FTI,0.31473,0.20152,0.149,0.09207
8HBA,0.20669,0.21325,0.24306,0.25345
8HZJ,0.16405,0.25515,0.24659,0.30238
8HZL,0.08681,0.09528,0.13692,0.07483
8ID2,0.40966,0.39587,0.52902,0.40334
8K0P,0.06605,0.08167,0.06058,0.037
8K34,0.94012,0.92551,0.8814,0.49946
8KGF,0.71178,0.60039,0.54264,0.033
8KI8,0.78103,0.60179,0.08713,0.01816
8SA3,0.32781,0.16904,0.24356,0.36081
8SJ7,0.97207,0.9697,0.98209,0.88451
8SXL,0.99136,0.97741,0.78956,0.97373
8THQ,0.79267,0.55087,0.74763,0.46154
8TQX,0.93088,0.92615,0.91588,0.80362
8TSV,0.69843,0.72172,0.50958,0.29156
8UO6,0.38108,0.31091,0.27399,0.27763
8WCS,0.26671,0.18701,0.12301,0.1081
8WU5,0.73022,0.71011,0.65802,0.70714
8X1V,0.33313,0.72781,0.69244,0.24351
9CPI,0.58438,0.71623,0.63564,0.70184
M1209,0.57754,0.61837,0.57029,0.36721
M1211,0.47473,0.44291,0.46532,0.41079
M1282,0.79354,0.80043,0.19226,0.62253
M1293,0.8597,0.84569,0.8931,0.39385
M1296,0.84964,0.716,0.76302,0.83149
