PDB_ID,af3,boltz,hf3,rf2na
7DA7,0.682380,0.574650,0.627190,0.075230
7ECJ,0.405570,0.386580,0.373520,0.377540
7ECK,0.363270,0.337740,0.345930,0.406940
7P0V,0.777680,0.827170,0.324330,0.777060
7PDU,0.179070,0.187100,0.187790,0.190430
7PMM,0.485280,0.490730,0.172820,0.447370
7QR3,0.391580,0.405160,0.256440,0.419100
7QR4,0.770690,0.854960,0.354050,0.758730
7SC6,0.779640,0.779170,0.783530,0.776300
7SCQ,0.770890,0.788510,0.806940,0.776610
7TNX,0.983620,0.951070,0.258680,0.750370
7TNY,0.984410,0.973810,0.244600,0.752100
7TO0,0.987480,0.945070,0.979610,0.762020
7TO1,0.975380,0.960860,0.247110,0.758430
7TO2,0.920700,0.928050,0.917180,0.785210
7U2A,0.984350,0.970640,0.952070,0.926810
7UIM,0.516800,0.465500,0.480370,0.421060
7UR5,0.339990,0.339970,0.278160,0.218430
7UU3,0.315050,0.525340,0.418430,0.324000
7V94,0.909620,0.754090,0.263420,0.189650
7XJZ,0.881730,0.834940,0.872860,0.867820
7YFQ,0.944670,0.930840,0.944170,0.856950
7YFX,0.969020,0.913650,0.329180,0.893050
7YFY,0.934400,0.901340,0.213760,0.877860
7YG6,0.966360,0.935580,0.920610,0.907280
7YGN,0.966580,0.920800,0.267100,0.918990
7YOJ,0.557210,0.314270,0.179960,0.181120
8AF0,0.479630,0.449920,0.478590,0.411330
8B9K,0.773170,0.783860,0.237040,0.806690
8CTI,0.146230,0.128830,0.115860,0.127650
8D9G,0.786690,0.597920,0.215210,0.042730
8DC2,0.226700,0.235320,0.212370,0.206270
8DMB,0.688940,0.555880,0.594740,0.432940
8DVR,0.972020,0.921540,0.330380,0.751480
8DVS,0.972580,0.958520,0.216880,0.773720
8E28,0.980950,0.969640,0.271980,0.972110
8E29,0.959590,0.953790,0.958990,0.923750
8E2A,0.735350,0.729890,0.238540,0.730720
8FTI,0.397430,0.315960,0.228630,0.138540
8GZP,0.884330,0.702510,0.237550,0.664390
8GZR,0.596030,0.537530,0.309160,0.075320
8H1B,0.915530,0.904710,0.361950,0.912360
8H1J,0.694090,0.732030,0.219710,0.682440
8HB1,0.266540,0.261210,0.216820,0.137880
8HB3,0.264760,0.197660,0.248650,0.150760
8HBA,0.201810,0.181750,0.204100,0.184260
8HIO,0.726560,0.719550,0.703000,0.276370
8HKE,0.899220,0.909900,0.195400,0.251080
8HNT,0.769310,0.672640,0.764990,0.348010
8HNW,0.962070,0.956480,0.230960,0.514400
8HUD,0.941580,0.908370,0.203130,0.529650
8HZJ,0.250120,0.156630,0.215190,0.219890
8HZK,0.156460,0.226550,0.235900,0.214200
8HZL,0.210440,0.225140,0.155190,0.179220
8I3Q,0.893480,0.801230,0.795970,0.305550
8IBW,0.906440,0.869540,0.242620,0.416670
8IBY,0.698920,0.725610,0.715020,0.591320
8IBZ,0.713750,0.729180,0.213580,0.550670
8ID2,0.392340,0.401090,0.181090,0.406130
8IDF,0.888300,0.881790,0.248690,0.662930
8IEW,0.803640,0.739110,0.269050,0.183590
8IFK,0.966600,0.954940,0.239470,0.458670
8IN8,0.969010,0.962180,0.235830,0.578590
8IPM,0.942430,0.952240,0.294080,0.869890
8J8H,0.965680,0.964160,0.282260,0.562160
8J9G,0.925470,0.904000,0.269410,0.501710
8JL0,0.965140,0.939520,0.225760,0.479530
8JTJ,0.938810,0.901300,0.881780,0.377510
8JTR,0.916790,0.817890,0.909130,0.561840
8K0Y,0.409950,0.242110,0.379850,0.297160
8KAG,0.779240,0.730980,0.198620,0.337690
8OKD,0.934240,0.743920,0.168750,0.747980
8OMR,0.953910,0.891340,0.964330,0.867060
8OPP,0.916760,0.913380,0.255270,0.434160
8PJB,0.926690,0.961370,0.239010,0.818570
8PM4,0.899670,0.907320,0.233390,0.492740
8PVV,0.752190,0.645150,0.303460,0.345570
8QG0,0.886850,0.716530,0.263520,0.377860
8R0S,0.941800,0.944690,0.237610,0.859860
8SCZ,0.961320,0.928310,0.283260,0.767820
8SD0,0.984510,0.962550,0.236770,0.778470
8SFH,0.738860,0.753300,0.237760,0.509220
8SFI,0.817560,0.904540,0.210780,0.285100
8SFJ,0.914530,0.931110,0.252860,0.307950
