PDB_ID,Model_ID,TM_Score
8CLR,m_8CLR,0.94982
7UMC,m_7UMC,0.45316
9EOW,m_9EOW,0.72526
8QO2,m_8QO2,0.27838
R1241,m_R1241,0.13575
7WIA,m_7WIA,0.65195
R1205,m_R1205,0.41267
8UTG,m_8UTG,0.22528
8VPV,m_8VPV,0.76352
R1248,m_R1248,0.20709
7Q48,m_7Q48,0.28614
7SXP,m_7SXP,0.23041
R1296,m_R1296,0.44152
R1288,m_R1288,0.56416
R1209,m_R1209,0.3423
8WA4,m_8WA4,0.25957
8QO4,m_8QO4,0.38238
8BTZ,m_8BTZ,0.27173
7UMD,m_7UMD,0.48928
8UPT,m_8UPT,0.8056
8V1H,m_8V1H,0.76055
8ITS,m_8ITS,0.39527
7SHX,m_7SHX,0.23321
8VCI,m_8VCI,0.32908
R1285,m_R1285,0.18397
7UGA,m_7UGA,0.59604
7V06,m_7V06,0.58167
R1293,m_R1293,0.40182
8XZL,m_8XZL,0.49786
8EDP,m_8EDP,0.213
8Q4O,m_8Q4O,0.29578
8BM6,m_8BM6,0.52905
7UME,m_7UME,0.82812
R1242,m_R1242,0.14185
8TNS,m_8TNS,0.46227
9BUN,m_9BUN,0.50036
8BWT,m_8BWT,0.70971
R1252,m_R1252,0.10886
R1264,m_R1264,0.83585
8I44,m_8I44,0.575
R1212,m_R1212,0.25071
R1256,m_R1256,0.25392
R1281,m_R1281,0.10669
8CQ1,m_8CQ1,0.80582
8JHP,m_8JHP,0.625
7UCR,m_7UCR,0.99026
R1286,m_R1286,0.10248
R1211,m_R1211,0.53911
8FCS,m_8FCS,0.81744
8VT5,m_8VT5,0.76605
