PDB_ID,Model_ID,TM_Score
8CLR,8CLR_5,0.93321
8CLR,8CLR_4,0.63416
8CLR,8CLR_3,0.93232
8CLR,8CLR_2,0.93389
8CLR,8CLR_1,0.94228
8UYS,8UYS_4,0.32190
8UYS,8UYS_1,0.33522
8UYS,8UYS_5,0.32882
8UYS,8UYS_2,0.34024
8UYS,8UYS_3,0.31660
7UMC,7UMC_5,0.43611
7UMC,7UMC_3,0.46046
7UMC,7UMC_1,0.43813
7UMC,7UMC_2,0.43726
7UMC,7UMC_4,0.43844
9EOW,9EOW_3,0.75584
9EOW,9EOW_4,0.75978
9EOW,9EOW_2,0.76644
9EOW,9EOW_5,0.72372
9EOW,9EOW_1,0.74287
8QO2,8QO2_5,0.21697
8QO2,8QO2_4,0.24080
8QO2,8QO2_3,0.21195
8QO2,8QO2_1,0.21732
8QO2,8QO2_2,0.22994
R1241,R1241_3,0.45687
R1241,R1241_2,0.43686
R1241,R1241_4,0.51729
R1241,R1241_1,0.49735
R1241,R1241_5,0.50753
8V1I,8V1I_1,0.36816
8V1I,8V1I_3,0.36011
8V1I,8V1I_5,0.34455
8V1I,8V1I_4,0.34388
8V1I,8V1I_2,0.36730
7WIA,7WIA_3,0.44773
7WIA,7WIA_1,0.42177
7WIA,7WIA_2,0.42806
7WIA,7WIA_4,0.42408
7WIA,7WIA_5,0.44159
R1205,R1205_2,0.50174
R1205,R1205_4,0.50670
R1205,R1205_3,0.50703
R1205,R1205_5,0.50758
R1205,R1205_1,0.51167
R1262,R1262_5,0.33490
R1262,R1262_3,0.30303
R1262,R1262_4,0.25959
R1262,R1262_1,0.23940
R1262,R1262_2,0.26389
7ZJ5,7ZJ5_1,0.22040
7ZJ5,7ZJ5_4,0.23776
7ZJ5,7ZJ5_3,0.23036
7ZJ5,7ZJ5_2,0.27160
7ZJ5,7ZJ5_5,0.25530
8UYE,8UYE_2,0.43467
8UYE,8UYE_1,0.43014
8UYE,8UYE_4,0.41367
8UYE,8UYE_3,0.41809
8UYE,8UYE_5,0.43483
8UTG,8UTG_2,0.48970
8UTG,8UTG_3,0.35755
8UTG,8UTG_5,0.42826
8UTG,8UTG_4,0.47752
8UTG,8UTG_1,0.46931
8VPV,8VPV_5,0.24590
8VPV,8VPV_4,0.31425
8VPV,8VPV_2,0.35235
8VPV,8VPV_3,0.26696
8VPV,8VPV_1,0.33483
R1248,R1248_2,0.20775
R1248,R1248_4,0.15684
R1248,R1248_1,0.21509
R1248,R1248_5,0.24827
R1248,R1248_3,0.23065
7Q48,7Q48_3,0.30818
7Q48,7Q48_1,0.28887
7Q48,7Q48_4,0.30732
7Q48,7Q48_5,0.26430
7Q48,7Q48_2,0.28927
7SXP,7SXP_4,0.40024
7SXP,7SXP_5,0.58084
7SXP,7SXP_2,0.43384
7SXP,7SXP_1,0.28698
7SXP,7SXP_3,0.52029
R1263,R1263_4,0.58498
R1263,R1263_1,0.61664
R1263,R1263_2,0.60466
R1263,R1263_3,0.63991
R1263,R1263_5,0.63655
R1296,R1296_2,0.47504
R1296,R1296_4,0.44393
R1296,R1296_5,0.40275
R1296,R1296_1,0.49554
R1296,R1296_3,0.57094
R1288,R1288_1,0.29334
R1288,R1288_2,0.42287
R1288,R1288_4,0.31151
R1288,R1288_3,0.29544
R1288,R1288_5,0.30365
R1209,R1209_3,0.33667
R1209,R1209_4,0.33150
R1209,R1209_2,0.35430
R1209,R1209_1,0.31504
R1209,R1209_5,0.32362
8WA4,8WA4_4,0.55386
8WA4,8WA4_3,0.45068
8WA4,8WA4_2,0.56796
8WA4,8WA4_1,0.57032
8WA4,8WA4_5,0.51008
8QO4,8QO4_4,0.38146
8QO4,8QO4_3,0.36101
8QO4,8QO4_1,0.33246
8QO4,8QO4_5,0.39563
8QO4,8QO4_2,0.39234
8BTZ,8BTZ_5,0.22802
8BTZ,8BTZ_3,0.20883
8BTZ,8BTZ_2,0.21365
8BTZ,8BTZ_4,0.24320
8BTZ,8BTZ_1,0.23493
7UMD,7UMD_5,0.43901
7UMD,7UMD_2,0.45947
7UMD,7UMD_3,0.44832
7UMD,7UMD_1,0.43884
7UMD,7UMD_4,0.37603
8K15,8K15_2,0.09898
8K15,8K15_1,0.09714
8K15,8K15_3,0.10237
8K15,8K15_5,0.10272
8K15,8K15_4,0.09896
8UPT,8UPT_1,0.31100
8UPT,8UPT_5,0.30944
8UPT,8UPT_3,0.33329
8UPT,8UPT_4,0.30992
8UPT,8UPT_2,0.33101
8V1H,8V1H_1,0.80597
8V1H,8V1H_3,0.84654
8V1H,8V1H_4,0.78235
8V1H,8V1H_2,0.73599
8V1H,8V1H_5,0.83003
8ITS,8ITS_5,0.41764
8ITS,8ITS_1,0.42586
8ITS,8ITS_4,0.40676
8ITS,8ITS_3,0.41221
8ITS,8ITS_2,0.46670
R1255,R1255_2,0.33016
R1255,R1255_3,0.29332
R1255,R1255_1,0.29663
R1255,R1255_5,0.25505
R1255,R1255_4,0.30656
7SHX,7SHX_5,0.29455
7SHX,7SHX_2,0.28645
7SHX,7SHX_3,0.30033
7SHX,7SHX_1,0.33759
7SHX,7SHX_4,0.27766
8VCI,8VCI_1,0.39164
8VCI,8VCI_3,0.37387
8VCI,8VCI_5,0.30664
8VCI,8VCI_4,0.38341
8VCI,8VCI_2,0.34939
R1285,R1285_1,0.29368
R1285,R1285_4,0.31001
R1285,R1285_2,0.25466
R1285,R1285_3,0.27764
R1285,R1285_5,0.26039
7UGA,7UGA_2,0.71957
7UGA,7UGA_1,0.69461
7UGA,7UGA_5,0.52006
7UGA,7UGA_3,0.72901
7UGA,7UGA_4,0.68508
7V06,7V06_1,0.72802
7V06,7V06_4,0.73875
7V06,7V06_3,0.73829
7V06,7V06_5,0.73177
7V06,7V06_2,0.71455
R1293,R1293_1,0.47858
R1293,R1293_3,0.43860
R1293,R1293_5,0.47180
R1293,R1293_2,0.48341
R1293,R1293_4,0.38982
8XZL,8XZL_4,0.41614
8XZL,8XZL_5,0.42463
8XZL,8XZL_1,0.41439
8XZL,8XZL_3,0.44086
8XZL,8XZL_2,0.40982
8EDP,8EDP_1,0.42929
8EDP,8EDP_5,0.45767
8EDP,8EDP_2,0.46415
8EDP,8EDP_4,0.42343
8EDP,8EDP_3,0.44834
8Q4O,8Q4O_2,0.29942
8Q4O,8Q4O_5,0.29003
8Q4O,8Q4O_1,0.34386
8Q4O,8Q4O_4,0.32551
8Q4O,8Q4O_3,0.29637
8BM6,8BM6_4,0.48592
8BM6,8BM6_1,0.37985
8BM6,8BM6_3,0.51155
8BM6,8BM6_5,0.43456
