PDB_ID,Model_ID,TM_Score
8CLR,m_8CLR,0.938
7UMC,m_7UMC,0.45409
9EOW,m_9EOW,0.64398
8QO2,m_8QO2,0.19474
R1241,m_R1241,0.52392
7WIA,m_7WIA,0.64366
R1205,m_R1205,0.39521
8UTG,m_8UTG,0.42468
8VPV,m_8VPV,0.48051
R1248,m_R1248,0.15377
7Q48,m_7Q48,0.27883
7SXP,m_7SXP,0.23267
R1296,m_R1296,0.38485
R1288,m_R1288,0.44543
R1209,m_R1209,0.35203
8WA4,m_8WA4,0.31234
8QO4,m_8QO4,0.26596
8BTZ,m_8BTZ,0.47049
7UMD,m_7UMD,0.56674
8UPT,m_8UPT,0.70561
8V1H,m_8V1H,0.71244
8ITS,m_8ITS,0.43065
7SHX,m_7SHX,0.25518
8VCI,m_8VCI,0.34767
R1285,m_R1285,0.21686
7UGA,m_7UGA,0.5428
7V06,m_7V06,0.8151
R1293,m_R1293,0.37105
8XZL,m_8XZL,0.46094
8EDP,m_8EDP,0.22063
8Q4O,m_8Q4O,0.34605
8BM6,m_8BM6,0.53158
7UME,m_7UME,0.84348
R1242,m_R1242,0.22374
8TNS,m_8TNS,0.41581
9BUN,m_9BUN,0.58593
8BWT,m_8BWT,0.79136
R1252,m_R1252,0.09739
R1264,m_R1264,0.30779
8I44,m_8I44,0.52426
R1212,m_R1212,0.34954
R1256,m_R1256,0.31316
R1281,m_R1281,0.12818
8CQ1,m_8CQ1,0.78133
8JHP,m_8JHP,0.81513
7UCR,m_7UCR,0.99346
R1286,m_R1286,0.10458
R1211,m_R1211,0.51249
8FCS,m_8FCS,0.78177
8VT5,m_8VT5,0.73442
