PDB_ID,Total_DockQ_Score,DockQ_Score,F1_Score,Native_chains,Model_chains,Type,TM_Score,iptm,ptm
7DA7,0.139,0.025,0.029,"A, C","B, C","protein, rna",0.57465,0.2408488243818283,0.4831186830997467
7DA7,0.139,0.032,0.039,"B, C","A, C","protein, rna",0.57465,0.2408488243818283,0.4831186830997467
7DA7,0.139,0.358,0.345,"A, B","B, A","protein, protein",0.57465,0.2408488243818283,0.4831186830997467
7ECJ,0.813,0.813,1.0,"A, B","B, A","rna, rna",0.38658,0.3656569719314575,0.4144105911254883
7ECK,0.776,0.776,0.926,"A, B","B, A","rna, rna",0.33774,0.3694189488887787,0.4170200824737549
7P0V,0.349,0.349,0.424,"A, B","B, A","protein, rna",0.82717,0.3362270891666412,0.7738348841667175
7PDU,0.231,0.231,0.594,"A, B","A, B","dna, rna",0.1871,0.3992884755134582,0.3551734983921051
7PMM,0.172,0.082,0.129,"A, D","D, B","protein, rna",0.49073,0.2495968341827392,0.4477286636829376
7PMM,0.172,0.095,0.14,"B, C","C, A","protein, rna",0.49073,0.2495968341827392,0.4477286636829376
7PMM,0.172,0.244,0.552,"B, D","C, B","protein, rna",0.49073,0.2495968341827392,0.4477286636829376
7PMM,0.172,0.267,0.576,"A, C","D, A","protein, rna",0.49073,0.2495968341827392,0.4477286636829376
7QR3,0.229,0.021,0.0,"A, C","D, A","protein, rna",0.40516,0.4946226179599762,0.5417042970657349
7QR3,0.229,0.025,0.0,"B, D","C, B","protein, rna",0.40516,0.4946226179599762,0.5417042970657349
7QR3,0.229,0.034,0.0,"C, D","A, B","rna, rna",0.40516,0.4946226179599762,0.5417042970657349
7QR3,0.229,0.531,0.908,"A, D","D, B","protein, rna",0.40516,0.4946226179599762,0.5417042970657349
7QR3,0.229,0.534,0.9,"B, C","C, A","protein, rna",0.40516,0.4946226179599762,0.5417042970657349
7QR4,0.691,0.691,0.855,"A, B","B, A","protein, rna",0.85496,0.875622034072876,0.7092772722244263
7SC6,0.252,0.009,0.0,"B, C","A, C","protein, rna",0.77917,0.5900706648826599,0.6914671063423157
7SC6,0.252,0.01,0.0,"A, C","B, C","protein, rna",0.77917,0.5900706648826599,0.6914671063423157
7SC6,0.252,0.735,0.733,"A, B","B, A","protein, protein",0.77917,0.5900706648826599,0.6914671063423157
7SCQ,0.257,0.008,0.0,"B, C","A, C","protein, rna",0.78851,0.5867038369178772,0.6917021870613098
7SCQ,0.257,0.02,0.048,"A, C","B, C","protein, rna",0.78851,0.5867038369178772,0.6917021870613098
7SCQ,0.257,0.745,0.646,"A, B","B, A","protein, protein",0.78851,0.5867038369178772,0.6917021870613098
7TNX,0.479,0.411,0.493,"A, B","C, B","protein, rna",0.95107,0.4546841084957123,0.6986947059631348
7TNX,0.479,0.448,0.532,"A, C","C, A","protein, rna",0.95107,0.4546841084957123,0.6986947059631348
7TNX,0.479,0.578,0.931,"B, C","B, A","rna, rna",0.95107,0.4546841084957123,0.6986947059631348
7TNY,0.673,0.532,0.569,"A, C","C, A","protein, rna",0.97381,0.6735665202140808,0.7125826478004456
7TNY,0.673,0.592,0.636,"A, B","C, B","protein, rna",0.97381,0.6735665202140808,0.7125826478004456
7TNY,0.673,0.894,0.984,"B, C","B, A","rna, rna",0.97381,0.6735665202140808,0.7125826478004456
7TO0,0.293,0.015,0.0,"A, C","A, B","protein, rna",0.94507,0.8155971765518188,0.7303012013435364
7TO0,0.293,0.021,0.0,"A, B","A, C","protein, rna",0.94507,0.8155971765518188,0.7303012013435364
7TO0,0.293,0.843,0.885,"B, C","C, B","rna, rna",0.94507,0.8155971765518188,0.7303012013435364
7TO1,0.177,0.177,0.451,"A, B","B, A","protein, rna",0.96086,0.5318023562431335,0.6903166174888611
7TO2,0.009,0.009,0.0,"A, B","A, B","protein, rna",0.92805,0.4945497214794159,0.6883643865585327
7U2A,0.586,0.405,0.353,"C, A","C, B","rna, protein",0.97064,0.8492744565010071,0.8674910664558411
