PDB_ID,Model_ID,TM_Score,Type
8HBA_chainB,8HBA_chainB.pdb,0.3868,rna
9CPI_chainB,9CPI_chainB.pdb,0.55946,rna
8K0P_chainC,8K0P_chainC.pdb,0.11867,rna
8E29_chainB,8E29_chainB.pdb,0.62359,rna
7YEY_chainB,7YEY_chainB.pdb,0.49424,rna
M1211_chain0,M1211_chain0.pdb,0.57693,rna
8TSV_chainC,8TSV_chainC.pdb,0.68718,rna
8KGF_chainG,8KGF_chainG.pdb,0.91754,rna
8HZL_chainB,8HZL_chainB.pdb,0.32522,rna
8TQX_chainD,8TQX_chainD.pdb,0.94018,rna
8HZJ_chainB,8HZJ_chainB.pdb,0.31448,rna
7TZR_chainY,7TZR_chainY.pdb,0.89015,rna
8WCS_chainG,8WCS_chainG.pdb,0.3656,rna
M1209_chain0,M1209_chain0.pdb,0.4618,rna
8SXL_chainB,8SXL_chainB.pdb,0.99258,rna
7TZR_chainX,7TZR_chainX.pdb,0.88384,rna
7VSJ_chainB,7VSJ_chainB.pdb,0.97154,rna
M1282_chain1,M1282_chain1.pdb,0.59066,rna
8SJ7_chainB,8SJ7_chainB.pdb,0.87577,rna
7YEX_chainB,7YEX_chainB.pdb,0.99601,rna
8FTI_chainB,8FTI_chainB.pdb,0.49143,rna
8TSV_chainD,8TSV_chainD.pdb,0.71036,rna
8D49_chainB,8D49_chainB.pdb,0.67395,rna
8D71_chainB,8D71_chainB.pdb,0.98195,rna
7YGN_chainB,7YGN_chainB.pdb,0.91074,rna
8SA3_chainB,8SA3_chainB.pdb,0.63346,rna
8EYU_chainA,8EYU_chainA.pdb,0.36854,rna
8UO6_chainB,8UO6_chainB.pdb,0.72151,rna
M1293_chain1,M1293_chain1.pdb,0.37057,rna
7YFX_chainB,7YFX_chainB.pdb,0.63772,rna
8K34_chainC,8K34_chainC.pdb,0.98773,rna
M1296_chain0,M1296_chain0.pdb,0.47136,rna
8HBA_chainA,8HBA_chainA.pdb,0.41056,rna
8ID2_chainD,8ID2_chainD.pdb,0.84844,rna
7YEY_chainA,7YEY_chainA.pdb,0.94394,protein
M1293_chainA,M1293_chainA.pdb,0.97433,protein
8K34_chainA,8K34_chainA.pdb,0.9554,protein
8ID2_chainB,8ID2_chainB.pdb,0.95953,protein
8KGF_chainA,8KGF_chainA.pdb,0.86587,protein
7VSJ_chainA,7VSJ_chainA.pdb,0.96798,protein
7YEX_chainA,7YEX_chainA.pdb,0.9622,protein
M1296_chainB,M1296_chainB.pdb,0.96606,protein
7YGN_chainA,7YGN_chainA.pdb,0.95804,protein
M1282_chainB,M1282_chainB.pdb,0.97742,protein
M1296_chainA,M1296_chainA.pdb,0.94776,protein
8SJ7_chainA,8SJ7_chainA.pdb,0.98707,protein
8WCS_chainA,8WCS_chainA.pdb,0.45155,protein
8K34_chainB,8K34_chainB.pdb,0.98775,protein
7YFX_chainA,7YFX_chainA.pdb,0.97497,protein
8D71_chainA,8D71_chainA.pdb,0.98759,protein
M1209_chainA,M1209_chainA.pdb,0.69631,protein
M1293_chainB,M1293_chainB.pdb,0.99524,protein
8D49_chainA,8D49_chainA.pdb,0.76763,protein
8FTI_chainA,8FTI_chainA.pdb,0.47602,protein
8E29_chainA,8E29_chainA.pdb,0.98488,protein
M1209_chainB,M1209_chainB.pdb,0.73721,protein
