PDB_ID,Model_ID,TM_Score
8CLR,8CLR_4,0.95673
8CLR,8CLR_3,0.94537
8CLR,8CLR_2,0.94157
8CLR,8CLR_0,0.94809
8CLR,8CLR_1,0.96241
8UYS,8UYS_4,0.30913
8UYS,8UYS_1,0.37176
8UYS,8UYS_0,0.36101
8UYS,8UYS_2,0.34197
8UYS,8UYS_3,0.33811
7UMC,7UMC_0,0.61910
7UMC,7UMC_3,0.63617
7UMC,7UMC_1,0.61411
7UMC,7UMC_2,0.64133
7UMC,7UMC_4,0.55298
9EOW,9EOW_3,0.59331
9EOW,9EOW_4,0.75652
9EOW,9EOW_2,0.67688
9EOW,9EOW_1,0.70217
9EOW,9EOW_0,0.70500
8QO2,8QO2_0,0.20516
8QO2,8QO2_4,0.26161
8QO2,8QO2_3,0.25653
8QO2,8QO2_1,0.18392
8QO2,8QO2_2,0.19786
R1241,R1241_3,0.33758
R1241,R1241_2,0.38110
R1241,R1241_4,0.30710
R1241,R1241_1,0.30968
R1241,R1241_0,0.35039
8V1I,8V1I_1,0.87879
8V1I,8V1I_3,0.88547
8V1I,8V1I_4,0.87729
8V1I,8V1I_0,0.83684
8V1I,8V1I_2,0.89196
7WIA,7WIA_3,0.62934
7WIA,7WIA_0,0.51878
7WIA,7WIA_1,0.59479
7WIA,7WIA_2,0.59847
7WIA,7WIA_4,0.64057
R1205,R1205_2,0.40238
R1205,R1205_4,0.44338
R1205,R1205_3,0.49596
R1205,R1205_0,0.42552
R1205,R1205_1,0.46029
R1262,R1262v2_0,0.84051
R1262,R1262v2_3,0.81850
R1262,R1262_0,0.81237
R1262,R1262v2_2,0.82380
R1262,R1262_3,0.78163
R1262,R1262_4,0.82012
R1262,R1262_1,0.83256
R1262,R1262v2_4,0.83092
R1262,R1262v2_1,0.82289
R1262,R1262_2,0.83700
7ZJ5,7ZJ5_0,0.19248
7ZJ5,7ZJ5_1,0.20705
7ZJ5,7ZJ5_4,0.19162
7ZJ5,7ZJ5_3,0.21412
7ZJ5,7ZJ5_2,0.19350
8UYE,8UYE_2,0.38521
8UYE,8UYE_0,0.36476
8UYE,8UYE_1,0.37210
8UYE,8UYE_4,0.38375
8UYE,8UYE_3,0.37915
8UTG,8UTG_2,0.50751
8UTG,8UTG_3,0.58950
8UTG,8UTG_4,0.58142
8UTG,8UTG_1,0.45715
8UTG,8UTG_0,0.50456
8VPV,8VPV_4,0.50571
8VPV,8VPV_2,0.50604
8VPV,8VPV_3,0.46848
8VPV,8VPV_1,0.51590
8VPV,8VPV_0,0.51282
R1248,R1248_0,0.17329
R1248,R1248_2,0.17192
R1248,R1248_4,0.18332
R1248,R1248_1,0.18351
R1248,R1248_3,0.13293
7Q48,7Q48_3,0.31160
7Q48,7Q48_0,0.40266
7Q48,7Q48_1,0.44800
7Q48,7Q48_4,0.30651
7Q48,7Q48_2,0.41203
7SXP,7SXP_4,0.43818
7SXP,7SXP_2,0.80797
7SXP,7SXP_0,0.82494
7SXP,7SXP_1,0.79787
7SXP,7SXP_3,0.78648
R1263,R1263_4,0.64997
R1263,R1263_1,0.74221
R1263,R1263v1_1,0.68473
R1263,R1263v1_3,0.63863
R1263,R1263_2,0.67908
R1263,R1263_0,0.69339
R1263,R1263v1_4,0.67912
R1263,R1263v1_0,0.63465
R1263,R1263_3,0.73139
R1263,R1263v1_2,0.72098
8TVZ,8TVZ_1,0.23370
8TVZ,8TVZ_4,0.25067
8TVZ,8TVZ_3,0.21536
8TVZ,8TVZ_2,0.19243
8TVZ,8TVZ_0,0.31898
R1253v1,R1253v1_1,0.09975
R1253v1,R1253v1_2,0.10287
R1253v1,R1253v1_4,0.10791
R1253v1,R1253v1_0,0.11606
R1253v1,R1253v1_3,0.11460
R1296,R1296_0,0.39941
R1296,R1296_2,0.40260
R1296,R1296_4,0.37087
R1296,R1296_1,0.40779
R1296,R1296_3,0.41498
R1288,R1288_0,0.60479
R1288,R1288_1,0.59550
R1288,R1288_2,0.65658
R1288,R1288_4,0.60548
R1288,R1288_3,0.61998
R1209,R1209_3,0.33016
R1209,R1209_4,0.45303
R1209,R1209_2,0.35724
R1209,R1209_1,0.37468
R1209,R1209_0,0.40166
8WA4,8WA4_4,0.89918
8WA4,8WA4_3,0.90408
8WA4,8WA4_2,0.89895
