PDB_ID,TM-scoreRNA,INF-ALL,INF-WC,INF-NWC,INF-STACK,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lddt,C-lddt,ptm,TM_ScoreMAX
7EXY,0.27096,0.81,1.0,1.0,0.73,0.75,0.44,0.62,0.94,1.0,0.11,0.69,0.0563371889293193,0.41993
7KUB,0.39686,0.81,0.83,,0.82,0.24,0.17,0.22,0.27,0.3,0.68,0.74,0.208618089556694,0.56407
7KUC,0.33929,0.95,1.0,,0.93,0.86,0.56,0.88,1.0,1.0,0.64,0.85,0.0493136197328567,0.57192
7KUD,0.27041,0.76,1.0,,0.7,0.83,0.54,0.77,1.0,1.0,0.69,0.82,0.0548226572573185,0.55547
7MKT,0.10619,0.0,,0.0,0.0,0.29,0.17,0.22,0.3,0.48,0.04,0.32,0.1252223253250122,0.21263
7PS8,0.10516,0.31,,0.0,0.54,0.45,0.17,0.3,0.44,0.87,0.1,0.42,0.1028365865349769,0.19502
7Q48,0.12714,0.45,,0.14,0.74,0.38,0.18,0.32,0.41,0.59,0.14,0.41,0.0814643278717994,0.25155
7Q6L,0.14818,0.36,,0.0,0.69,0.39,0.18,0.32,0.46,0.59,0.22,0.44,0.0896013379096984,0.21371
7QA2,0.15234,0.49,,0.12,0.84,0.43,0.23,0.36,0.46,0.68,0.23,0.46,0.0724630206823349,0.21769
7RWR,0.44787,0.68,0.81,0.0,0.69,0.7,0.5,0.68,0.71,0.92,0.54,0.6,0.2640713453292846,0.47046
7SHX,0.24919,0.7,0.71,0.0,0.73,0.21,0.14,0.15,0.2,0.34,0.5,0.65,0.1763594895601272,0.35912
7SXP,0.23686,0.43,,0.32,0.59,0.54,0.21,0.42,0.63,0.9,0.12,0.7,0.1195043548941612,0.22235
7UGA,0.32635,0.85,0.69,,0.91,0.47,0.33,0.42,0.54,0.6,0.66,0.77,0.2528776526451111,0.44115
7UMC,0.41391,0.83,0.92,0.41,0.81,0.51,0.21,0.34,0.66,0.84,0.71,0.77,0.2807198762893677,0.41778
7UMD,0.29686,0.82,1.0,,0.74,0.57,0.32,0.4,0.65,0.9,0.6,0.74,0.2432015687227249,0.35078
7UME,0.36121,0.81,0.86,,0.83,0.78,0.5,0.71,0.89,1.0,0.67,0.71,0.2833680510520935,0.51294
7V06,0.389,0.74,0.76,,0.77,0.61,0.35,0.44,0.67,0.98,0.75,0.78,0.2364740818738937,0.46901
7WIA,0.3466,0.79,0.9,0.45,0.78,0.24,0.14,0.22,0.26,0.33,0.73,0.74,0.2527746260166168,0.49617
