PDB_ID,AF 3,Boltz-1,Chai-1,HF3,NuFold,RhoFold+,RoseTTAFoldNA,trRosettaRNA,DRfold,DeepFoldRNA
7KUB,0.22,0.24,0.23,0.23,0.25,0.23,0.25,0.2,0.61,0.61
7KUC,0.88,0.86,0.88,0.84,0.94,0.88,0.91,0.92,0.95,0.95
7KUD,0.86,0.83,0.81,0.94,0.9,0.79,0.81,0.58,0.86,0.86
7RWR,0.64,0.7,0.57,0.48,0.64,0.62,0.6,0.66,0.66,0.66
7UME,0.82,0.78,0.8,0.64,0.79,0.74,0.8,0.54,0.76,0.76
7V06,0.57,0.61,0.78,0.64,0.59,0.64,0.62,0.46,0.69,0.69
7WIA,0.24,0.24,0.25,0.19,0.26,0.24,0.25,0.22,0.34,0.34
8CQ1,0.7,0.71,0.68,0.69,0.69,0.64,0.7,0.67,0.65,0.65
8FB3,0.71,0.76,0.26,0.57,0.92,0.86,0.53,0.68,0.72,0.72
8FCS,0.74,0.69,0.66,0.49,0.72,0.69,0.69,0.62,0.75,0.75
8K2Z,0.71,0.75,0.51,0.43,0.64,0.56,0.42,0.23,0.54,0.54
8K30,0.8,0.51,0.69,0.38,0.79,0.65,0.45,0.72,0.34,0.34
8KEB,0.76,0.69,0.37,0.77,0.79,0.67,0.33,0.22,0.34,0.34
8Q6N,0.57,0.78,0.59,0.66,0.8,0.5,0.59,0.27,0.55,0.55
8SCF,0.82,0.82,0.78,0.82,0.78,0.75,0.81,0.3,0.81,0.81
8UPT,0.16,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.64,0.64
8UYP,0.35,0.25,0.2,0.31,0.28,0.26,0.33,0.15,0.29,0.29
8V1H,0.19,0.18,0.19,0.18,0.2,0.18,0.18,0.12,0.25,0.25
8V1I,0.78,0.75,0.55,0.35,0.73,0.59,0.51,0.64,0.24,0.24
8VT5,0.8,0.8,0.59,0.52,0.72,0.64,0.63,0.67,0.39,0.39
8XZL,0.39,0.59,0.42,0.38,0.43,0.43,0.49,0.32,0.27,0.27
9BLM,0.55,0.62,0.33,0.31,0.7,0.55,0.52,0.31,0.42,0.42
9DE6,0.33,0.34,0.45,0.47,0.43,0.36,0.52,0.4,0.48,0.48
9DE7,0.46,0.46,0.43,0.45,0.45,0.38,0.31,0.43,0.46,0.46
9ECQ,0.87,0.9,0.85,0.78,0.85,0.76,0.82,0.82,0.84,0.84
9ECR,0.64,0.67,0.67,0.59,0.64,0.69,0.66,0.64,0.67,0.67
R1211,0.48,0.44,0.41,0.48,0.44,0.29,0.36,0.33,0.35,0.35
R1263,0.41,0.62,0.38,0.56,0.78,0.58,0.98,0.86,0.83,0.83
R1271,0.76,0.76,0.69,0.7,0.7,0.62,0.7,0.22,0.75,0.75
R1293,0.33,0.44,0.42,0.37,0.31,0.24,0.23,0.42,0.33,0.33
